InvoiceDate,Total
11/2/2013,2053.7
11/5/2013,6732.8
11/6/2013,3602.93
11/7/2013,1365.93
11/9/2013,3974.9
11/11/2013,6776.2
11/12/2013,6015.4
11/17/2013,325.5
11/18/2013,782.7
11/19/2013,935.8
11/20/2013,108
11/25/2013,311
11/26/2013,140
11/30/2013,245
12/1/2013,356.36
12/2/2013,992
12/7/2013,419
12/10/2013,600
12/12/2013,25473.24
12/15/2013,295
12/16/2013,1989.5
12/17/2013,1113
12/18/2013,248
12/19/2013,32
12/22/2013,15484.25
12/24/2013,160
12/25/2013,453.5
12/28/2013,178.5
12/29/2013,705
12/31/2013,18287.15
1/1/2014,219
1/4/2014,1385
1/8/2014,995
1/9/2014,370
1/11/2014,1855
1/12/2014,144.24
1/13/2014,760.8
1/14/2014,2481.8
1/16/2014,1165
1/18/2014,142.75
1/19/2014,1441.9
1/20/2014,1482.1
1/23/2014,100
1/25/2014,1082.5
1/27/2014,55
1/28/2014,540
2/2/2014,223
2/4/2014,13122.304
2/5/2014,990.75
2/9/2014,225.5
2/12/2014,312
2/16/2014,916
2/17/2014,70
2/18/2014,1022.37
2/19/2014,671
2/23/2014,220
2/26/2014,281
3/12/2014,2616.4
3/13/2014,1751.04
3/16/2014,80
3/19/2014,358
3/22/2014,212.68
3/23/2014,1314.5
3/24/2014,578.91
3/25/2014,8234.06
3/27/2014,140
3/29/2014,379.32
3/30/2014,1474.76
4/2/2014,411
4/3/2014,4542
4/6/2014,30
4/9/2014,162.99
4/12/2014,1174.5
4/13/2014,535
4/14/2014,82.5
4/15/2014,154
4/17/2014,1242.23
4/19/2014,605
4/22/2014,4456.9
4/23/2014,2268.9
4/27/2014,657.7
4/29/2014,950
4/30/2014,7464
5/3/2014,243
5/4/2014,1198.23
5/6/2014,1177.1
5/8/2014,13659.54
5/14/2014,9
5/18/2014,294
5/21/2014,365
5/26/2014,9350.03
5/28/2014,3509.5
5/31/2014,211
6/1/2014,1807.98
6/2/2014,100
6/4/2014,1213.32
6/8/2014,526
6/14/2014,6447.25
6/16/2014,490
6/17/2014,453.46
6/19/2014,350
6/21/2014,685
6/28/2014,2040
7/1/2014,160
7/4/2014,270
7/7/2014,88.34
7/9/2014,2352.05
7/13/2014,41
7/14/2014,85
7/15/2014,116
7/22/2014,957
7/26/2014,551.78
8/2/2014,16085.2195
8/3/2014,458.8
8/4/2014,578
8/5/2014,40
8/6/2014,691
8/9/2014,1425.88
8/10/2014,143
8/11/2014,785.34
8/12/2014,205
8/13/2014,599.59
8/21/2014,1199.07
8/23/2014,59.3
8/24/2014,324.5
8/26/2014,983
8/27/2014,506
9/2/2014,570
9/3/2014,1714.25
9/4/2014,267
9/7/2014,840
9/8/2014,636
9/14/2014,683
9/18/2014,323.32
9/20/2014,506
9/27/2014,1200.5
9/28/2014,320
9/29/2014,254.9
10/1/2014,1387.2
10/2/2014,104
10/8/2014,17518.758
10/11/2014,1227
10/12/2014,90
10/13/2014,12168.18
10/18/2014,179
10/25/2014,530
10/27/2014,85
2/4/2017,1625
2/7/2017,160
2/12/2017,344
2/15/2017,450
2/20/2017,590.3
8/29/2017,2265
8/30/2017,555
12/3/2017,825
12/5/2017,120
1/8/2018,825
1/11/2018,825
3/24/2018,132
5/7/2018,1178
1/31/2019,11697.6
2/2/2019,3600.8
2/5/2019,353.4
2/16/2019,830.44
2/19/2019,170
2/21/2019,275.6
3/5/2019,104
3/9/2019,6372.24
3/17/2019,930
4/3/2019,7664
4/7/2019,480
4/8/2019,20086
4/10/2019,1180
4/11/2019,83.86
6/22/2019,1110
6/25/2019,608
7/24/2019,368
8/5/2019,15422
8/8/2019,1954
8/14/2019,220
8/15/2019,176
9/3/2019,3440
9/4/2019,3800
9/21/2019,80
9/25/2019,339
10/9/2019,14572
10/12/2019,19268
10/13/2019,8950
10/14/2019,1650
10/15/2019,82
10/22/2019,314.4
10/26/2019,40503
5/28/2020,4151
6/2/2020,1310
6/3/2020,180
6/6/2020,1039
6/7/2020,1154
6/11/2020,12574
6/15/2020,11058.2
6/16/2020,101735.5
6/17/2020,29795
6/20/2020,100
6/22/2020,225
6/29/2020,3016
6/30/2020,33443
7/1/2020,2177
7/2/2020,559
7/5/2020,1284.9
7/6/2020,4586
7/8/2020,464.2
7/11/2020,140
7/12/2020,600
7/13/2020,151.3
7/14/2020,17000
